ticket_id,message,created_at
1,I am unable to login to my account,2024-01-01 09:10
2,Payment was deducted but order not placed,2024-01-01 09:30
3,My delivery is delayed by 4 days,2024-01-01 10:00
4,I want a refund for my cancelled order,2024-01-01 10:15
5,App crashes when clicking submit button,2024-01-01 10:45
6,How can I change my profile picture,2024-01-01 11:00
7,Unable to sign in after password reset,2024-01-01 11:20
8,Money deducted twice during payment,2024-01-01 11:40
9,Order not delivered yet,2024-01-01 12:00
10,Refund still not received,2024-01-01 12:20
11,There is a bug in checkout page,2024-01-01 12:45
12,How to update my email address,2024-01-01 13:00
13,Login page keeps loading,2024-01-01 13:20
14,Payment failed but amount debited,2024-01-01 13:40
15,Delivery agent did not contact me,2024-01-01 14:00
16,Requesting refund for wrong product,2024-01-01 14:20
17,App shows error message frequently,2024-01-01 14:40
18,How to track my order,2024-01-01 15:00
19,Account locked unable to login,2024-01-01 15:20
20,Payment page is not loading,2024-01-01 15:40
21,Package delivery delayed again,2024-01-01 16:00
22,Refund approved but not credited,2024-01-01 16:20
23,Application crashes on startup,2024-01-01 16:40
24,How do I reset my password,2024-01-01 17:00
25,Unable to complete payment,2024-01-01 17:20
26,Delivery address was wrong,2024-01-01 17:40
27,Refund requested multiple times,2024-01-01 18:00
28,Found bug while updating profile,2024-01-01 18:20
29,Need help with general account settings,2024-01-01 18:40
30,Login error after app update,2024-01-01 19:00
31,Payment gateway timeout issue,2024-01-01 19:20
32,Delivery status not updated,2024-01-01 19:40
33,Refund failed due to technical issue,2024-01-01 20:00
34,App freezes when opening cart,2024-01-01 20:20
35,How to delete my account,2024-01-01 20:40
36,Unable to login from mobile app,2024-01-01 21:00
37,Payment deducted without confirmation,2024-01-01 21:20
38,Delivery is too late,2024-01-01 21:40
39,Refund amount incorrect,2024-01-01 22:00
40,Bug found in order history page,2024-01-01 22:20
